g3s.xlarge | n=1 | K=0.33656095313547585
g3s.xlarge | n=2 | K=0.40654730131732864
g3s.xlarge | n=4 | K=0.4415404754082548
g3s.xlarge | n=8 | K=0.4590370624537179
g3s.xlarge | n=12 | K=0.4648692581355389
g3s.xlarge | n=16 | K=0.46761745771806723
g3s.xlarge | n=20 | K=0.4633277042121694
g3s.xlarge | n=24 | K=0.4467720186310818
g3s.xlarge | n=28 | K=0.4205636833353599
g3s.xlarge | n=32 | K=0.38978908253624495
g4dn.xlarge | n=1 | K=0.6335228784439044
g4dn.xlarge | n=2 | K=0.42012845018194733
g4dn.xlarge | n=4 | K=0.3134312360509687
g4dn.xlarge | n=8 | K=0.2600826289854794
g4dn.xlarge | n=12 | K=0.2422997599636496
g4dn.xlarge | n=16 | K=0.2328290663319253
g4dn.xlarge | n=20 | K=0.22295265840091827
g4dn.xlarge | n=24 | K=0.21000838951184275
g4dn.xlarge | n=28 | K=0.19487421777792344
g4dn.xlarge | n=32 | K=0.17917743754734905
g5.xlarge | n=1 | K=0.462674100225414
g5.xlarge | n=2 | K=0.2842680436333309
g5.xlarge | n=4 | K=0.19506501533728926
g5.xlarge | n=8 | K=0.1504635011892685
g5.xlarge | n=12 | K=0.1355963298065949
g5.xlarge | n=16 | K=0.12816274411525808
g5.xlarge | n=20 | K=0.123702592700456
g5.xlarge | n=24 | K=0.12056809334174912
g5.xlarge | n=28 | K=0.11750991247996526
g5.xlarge | n=32 | K=0.11392109243082793
